Hospital Universitário (HU);Título do Projeto;Número do Projeto;Status do Projeto;Quem Fez;Quando Fez (Data/Hora);Duração;Status Onde Estava;Status O que Aconteceu
HU-UFPI;ANÁLISE DAS RELAÇÕES ENTRE AS CARACTERÍSTICAS ORGANIZACIONAIS E O USO DE INDICADORES DE DESEMPENHO NO ÂMBITO DOS HOSPITAIS PÚBLICOS VINCULADOS À EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES - EBSERH;293;Projeto aprovado;GINIVALDO VICTOR RIBEIRO DO NASCIMENTO;08/03/2021 15:02;3 Dia(s) 3 Hr(s) 9 Min 20 Seg;Aguardando autorização do setor responsável;Projeto aprovado
HU-UFPI;A GESTÃO DE DESEMPENHO POR COMPETÊNCIA COMO FERRAMENTA DE AVALIAÇÃO EM UMA EMPRESA PÚBLICA NO PIAUÍ;336;Aguardando aprovação do CEP;LIA CRUZ VAZ DA COSTA DAMÁSIO;08/05/2021 10:23;28 Dia(s) 23 Min 15 Seg;Carta de anuência assinada;Solicitado documento de aprovação do CEP
HU-UFPI;xxx;366;Projeto inativo;Administrador do Sistema;26/05/2021 15:00:36;;Em cadastramento;Projeto inativo
HU-UFPI;Gameterapia para auxílio em tratamentos de reabilitação respiratória;383;Projeto aprovado;ANA LINA DE CARVALHO CUNHA SALES;08/03/2022 15:44;1 Dia(s) 1 Hr(s) 36 Min 54 Seg;Aguardando avaliação da GEP;Projeto aprovado
HU-UFPI;ESTADO NUTRICIONAL E SOBREVIDA DE PACIENTES COM COVID-19 INTERNADOS NO HOSPITAL UNIVERSITÁRIO DA UNIVERSIDADE FEDERAL DO PIAUÍ;394;Aguardando aprovação do CEP;GINIVALDO VICTOR RIBEIRO DO NASCIMENTO;08/10/2021 09:43;4 Dia(s) 18 Hr(s) 41 Min 44 Seg;Carta de anuência assinada;Solicitado documento de aprovação do CEP
HU-UFPI;INFECÇÃO DE SÍTIO CIRÚRGICO NO HU-UFPI;514;Em ajuste para autorização do setor responsável;GINIVALDO VICTOR RIBEIRO DO NASCIMENTO;29/03/2022 15:32:38;10 Dia(s) 23 Hr(s) 27 Seg;Aguardando autorização do setor responsável;Solicitado ajustes
HU-UFPI;AVALIAÇÃO DA QUALIDADE DE VIDA ANTES E 6 MESES APÓS A INSERÇÃO DO SISTEMA INTRAUTERINO LIBERADOR DE LEVONORGESTREL (SIU-LNG);603;Aguardando aprovação do CEP;GINIVALDO VICTOR RIBEIRO DO NASCIMENTO;28/10/2021 16:15:20;6 Dia(s) 2 Hr(s) 10 Min 53 Seg;Carta de anuência assinada;Solicitado documento de aprovação do CEP
HU-UFPI;PERCEPÇÃO DO CUIDADO DE ENFERMAGEM ADVINDA DA INSERÇÃO DE ESPECIALISTAS NO MERCADO DE TRABALHO;626;Em ajuste para autorização do setor responsável;GINIVALDO VICTOR RIBEIRO DO NASCIMENTO;08/05/2021 16:52;13 Dia(s) 6 Hr(s) 17 Min 11 Seg;Aguardando autorização do setor responsável;Solicitado ajustes
HU-UFPI;IMPACTO DA INSERÇÃO DO SISTEMA INTRAUTERINO DE LEVONORGESTREL (SIU-LNG) NA FILA DE ESPERA DE PROCEDIMENTOS CIRÚRGICOS DE UM HOSPITAL UNIVERSITÁRIO;640;Aguardando aprovação do CEP;GINIVALDO VICTOR RIBEIRO DO NASCIMENTO;08/10/2021 09:43;3 Dia(s) 17 Hr(s) 23 Min 45 Seg;Carta de anuência assinada;Solicitado documento de aprovação do CEP
HU-UFPI;INFLUÊNCIA DA HIPOALBUMINEMIA NA MORBIDADE PÓS-OPERATÓRIA DE PACIENTES SUBMETIDOS À RESSECÇÃO COLORRETAL ONCOLÓGICA;641;Aguardando aprovação do CEP;GINIVALDO VICTOR RIBEIRO DO NASCIMENTO;08/10/2021 09:44;3 Dia(s) 21 Hr(s) 26 Min 19 Seg;Carta de anuência assinada;Solicitado documento de aprovação do CEP
HU-UFPI;DEPRESSÃO, ANSIEDADE E ESTRESSE EM ANESTESIOLOGISTAS DURANTE A PANDEMIA DE COVID-19 NO BRASIL;651;Projeto aprovado;GINIVALDO VICTOR RIBEIRO DO NASCIMENTO;13/01/2022 18:26:08;22 Hr(s) 7 Min 3 Seg;Aguardando avaliação da GEP;Projeto aprovado
HU-UFPI;PERFIL DE SANGRAMENTO ANTES E 6 MESES APÓS A INSERÇÃO DO SISTEMA INTRAUTERINO LIBERADOR DE LEVONORGESTREL (SIU-LNG) EM MULHERES COM SANGRAMENTO UTERINO ANORMAL (SUA) NO AMBITO DO SISTEMA ÚNICO DE SAÚDE (SUS);652;Aguardando aprovação do CEP;LIA CRUZ VAZ DA COSTA DAMÁSIO;18/05/2022 09:36:18;23 Hr(s) 35 Min 15 Seg;Carta de anuência assinada;Solicitado documento de aprovação do CEP
HU-UFPI;PERFIL DE SANGRAMENTO ANTES E 6 MESES APÓS A INSERÇÃO DO SISTEMA INTRAUTERINO LIBERADOR DE LEVONORGESTREL (SIU-LNG) EM MULHERES COM SANGRAMENTO UTERINO ANORMAL (SUA) NO AMBITO DO SISTEMA ÚNICO DE SAÚDE (SUS);653;Projeto inativo;Administrador do Sistema;07/11/2021 19:13;;Em cadastramento;Projeto inativo
HU-UFPI;xx;661;Projeto inativo;Administrador do Sistema;13/07/2021 15:06:07;;Em cadastramento;Projeto inativo
HU-UFPI;ANÁLISE DA DISPENSAÇÃO DE IMUNOGLOBULINA EM UM HOSPITAL UNIVERSITÁRIO;673;Em ajuste pelo pesquisador;CARLOS EDUARDO BATISTA DE LIMA;16/07/2021 11:22:26;1 Dia(s) 19 Hr(s) 10 Min 33 Seg;Em análise pela GEP;Solicitado ajustes
HU-UFPI;Estudo retrospectivo e prospectivo sobre as características epidemiológicas e clínicas de uma coorte de pacientes com doenças inflamatórias intestinais no Hospital Universitário da Universidade Federal do Piauí.;701;Projeto aprovado;ANA LINA DE CARVALHO CUNHA SALES;27/10/2022 09:14:23;20 Hr(s) 50 Min 15 Seg;Aguardando avaliação da GEP;Projeto aprovado
HU-UFPI;LEVANTAMENTO EPIDEMIOLÓGICO DO USO DE SISTEMAS DE FIXAÇÃO PELA CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS NO HOSPITAL UNIVERSITÁRIO – UFPI;717;Aguardando aprovação do CEP;GINIVALDO VICTOR RIBEIRO DO NASCIMENTO;31/08/2021 09:17:12;7 Dia(s) 20 Hr(s) 15 Min 32 Seg;Carta de anuência assinada;Solicitado documento de aprovação do CEP
HU-UFPI;O IMPACTO DA PANDEMIA PELO CORONAVÍRUS (COVID-19) NA SAÚDE MENTAL DOS PROFISSIONAIS DE SAÚDE DE UM HOSPITAL DE REFERÊNCIA PARA COVID 19;743;Aguardando aprovação do CEP;GINIVALDO VICTOR RIBEIRO DO NASCIMENTO;21/09/2021 10:36:22;6 Dia(s) 1 Hr(s) 33 Min 5 Seg;Carta de anuência assinada;Solicitado documento de aprovação do CEP
HU-UFPI;O PAPEL DAS CIRURGIAS PALIATIVAS NO CÂNCER BILIOPANCREÁTICO NO HOSPITAL UNIVERSITÁRIO DA UNIVERSIDADE FEDERAL DO PIAUÍ;788;Aguardando aprovação do CEP;GINIVALDO VICTOR RIBEIRO DO NASCIMENTO;21/09/2021 10:36:35;10 Dia(s) 21 Hr(s) 34 Min 35 Seg;Carta de anuência assinada;Solicitado documento de aprovação do CEP
HU-UFPI;CORRELAÇÃO ULTRASSONOGRÁFICA E HISTOLÓGICA DE LESÕES MAMÁRIAS SUBMETIDAS A BIÓPSIA;882;Aguardando aprovação do CEP;GINIVALDO VICTOR RIBEIRO DO NASCIMENTO;21/09/2021 10:37:30;10 Dia(s) 21 Hr(s) 35 Min 16 Seg;Carta de anuência assinada;Solicitado documento de aprovação do CEP
HU-UFPI;IMPACTO DE MINERAIS EM DISTÚRBIOS ENDÓCRINO-METABÓLICOS;897;Aguardando aprovação do CEP;CARLOS EDUARDO BATISTA DE LIMA;01/04/2022 11:59;10 Dia(s) 21 Hr(s) 48 Min 42 Seg;Carta de anuência assinada;Solicitado documento de aprovação do CEP
