Hospital Universitário (HU),Título do Projeto,Número do Projeto,Status do Projeto,Quem Fez,Quando Fez (Data/Hora),Duração,Status Onde Estava,Status O que Aconteceu
HU-UFPI,o cuidar silencioso: como enfermeiros lidam com seu sofrimento psíquico na oncologia,22063.0,Aguardando autorização do setor responsável,ALICE TACIANA ALVES FERREIRA BEZERRA,30/09/2025 14:53:18,3 Seg,Em análise pela GEP,Solicitado autorização do setor responsável
HU-UFPI,análise das relações entre as características organizacionais e o uso de indicadores de desempenho no âmbito dos hospitais públicos vinculados à empresa brasileira de serviços hospitalares - ebserh,293.0,Projeto aprovado,GINIVALDO VICTOR RIBEIRO DO NASCIMENTO,08/03/2021 15:02,3 Dia(s) 3 Hr(s) 9 Min 20 Seg,Aguardando autorização do setor responsável,Projeto aprovado
HU-UFPI,a gestão de desempenho por competência como ferramenta de avaliação em uma empresa pública no piauí,336.0,Aguardando aprovação do CEP,LIA CRUZ VAZ DA COSTA DAMÁSIO,08/05/2021 10:23,28 Dia(s) 23 Min 15 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,gameterapia para auxílio em tratamentos de reabilitação respiratória,383.0,Projeto aprovado,ANA LINA DE CARVALHO CUNHA SALES,08/03/2022 15:44,1 Dia(s) 1 Hr(s) 36 Min 54 Seg,Aguardando avaliação da GEP,Projeto aprovado
HU-UFPI,estado nutricional e sobrevida de pacientes com covid-19 internados no hospital universitário da universidade federal do piauí,394.0,Aguardando aprovação do CEP,GINIVALDO VICTOR RIBEIRO DO NASCIMENTO,08/10/2021 09:43,4 Dia(s) 18 Hr(s) 41 Min 44 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,infecção de sítio cirúrgico no hu-ufpi,514.0,Em ajuste para autorização do setor responsável,GINIVALDO VICTOR RIBEIRO DO NASCIMENTO,29/03/2022 15:32:38,10 Dia(s) 23 Hr(s) 27 Seg,Aguardando autorização do setor responsável,Solicitado ajustes
HU-UFPI,avaliação da qualidade de vida antes e 6 meses após a inserção do sistema intrauterino liberador de levonorgestrel (siu-lng),603.0,Aguardando aprovação do CEP,GINIVALDO VICTOR RIBEIRO DO NASCIMENTO,28/10/2021 16:15:20,6 Dia(s) 2 Hr(s) 10 Min 53 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,percepção do cuidado de enfermagem advinda da inserção de especialistas no mercado de trabalho,626.0,Em ajuste para autorização do setor responsável,GINIVALDO VICTOR RIBEIRO DO NASCIMENTO,08/05/2021 16:52,13 Dia(s) 6 Hr(s) 17 Min 11 Seg,Aguardando autorização do setor responsável,Solicitado ajustes
HU-UFPI,osteotomia sagital do ramo mandibular na remoção de “kissing” molars”: relato de caso,21771.0,Aguardando aprovação do CEP,ALICE TACIANA ALVES FERREIRA BEZERRA,17/09/2025 18:13:19,2 Hr(s) 12 Min 16 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,análise da ergonomia no serviço de endoscopia de um hospital universitário,21692.0,Aguardando autorização do setor responsável,ALICE TACIANA ALVES FERREIRA BEZERRA,09/04/2025 17:28,2 Dia(s) 49 Min 28 Seg,Em análise pela GEP,Solicitado autorização do setor responsável
HU-UFPI,medsystem: solução digital para gerenciamento de fichas clínicas em tratamentos de fototerapia para vitiligo,21678.0,Aguardando aprovação do CEP,ALICE TACIANA ALVES FERREIRA BEZERRA,09/09/2025 18:34,8 Hr(s) 33 Min 8 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,análise de prevalência e classificação de defeitos mandibulares indicativos de reconstrução de mandíbula com retalho microvascularizado em um hospital público do piauí,21632.0,Aguardando aprovação do CEP,ALICE TACIANA ALVES FERREIRA BEZERRA,09/09/2025 19:44,9 Hr(s) 42 Min 44 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,efeito da fibra do cajú (anacardium occidentale l.) na prevenção da obesidade: um ensaio clínico randomizado,21630.0,Carta de anuência assinada,Administrador do Sistema,09/09/2025 10:01,5 Dia(s) 14 Hr(s) 58 Min 16 Seg,Aguardando assinatura da carta de anuência,Assinatura da carta de anuência registrada
HU-UFPI,avaliação da reabsorção de retalho microvascularizados para reconstrução de mandíbula após ressecções tumorais: um estudo retrospectivo,21609.0,Aguardando aprovação do CEP,ALICE TACIANA ALVES FERREIRA BEZERRA,09/10/2025 19:21,1 Hr(s) 20 Min 34 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,avaliação da força muscular periférica e nível de mobilidade de pacientes submetidos à cirurgia cardíaca com esternotomia,21603.0,Aguardando autorização do setor responsável,ALICE TACIANA ALVES FERREIRA BEZERRA,09/03/2025 14:30,3 Seg,Em análise pela GEP,Solicitado autorização do setor responsável
HU-UFPI,comparação entre infiltração articular e bloqueio do nervo supraescapular em pacientes com capsulite adesiva no hospital universitário da universidade federal do piauí,21505.0,Em ajuste para autorização do setor responsável,ALICE TACIANA ALVES FERREIRA BEZERRA,09/08/2025 17:55,1 Hr(s) 36 Min 52 Seg,Aguardando autorização do setor responsável,Solicitado ajustes
HU-UFPI,"spy123-201 - estudo de plataforma de fase 2 para avaliar a eficácia e a segurança de anticorpos de ação prolongada, como agentes isolados e em combinação, para colite ulcerativa com atividade moderada a grave",21463.0,Aguardando aprovação do CEP,ALICE TACIANA ALVES FERREIRA BEZERRA,09/12/2025 12:51,47 Min 39 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,perfil clínico-epidemiológico de pacientes com artrite reumatoide no hu-ufp,21452.0,Aguardando aprovação do CEP,ALICE TACIANA ALVES FERREIRA BEZERRA,21/08/2025 19:30:32,1 Hr(s) 29 Min 25 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,perfil clínico-epidemiológico dos pacientes com esclerose sistêmica no hu-ufpi,21448.0,Aguardando aprovação do CEP,ALICE TACIANA ALVES FERREIRA BEZERRA,09/12/2025 12:57,53 Min 33 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,impacto financeiro do tratamento medicamentoso do glaucoma para pacientes atendidos em ambulatório público,21447.0,Aguardando aprovação do CEP,ALICE TACIANA ALVES FERREIRA BEZERRA,21/08/2025 19:36:10,1 Hr(s) 35 Min 5 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,disfunção sexual em mulheres com doença inflamatória intestinal,21429.0,Aguardando aprovação do CEP,ALICE TACIANA ALVES FERREIRA BEZERRA,09/12/2025 12:29,26 Min 5 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,infecções relacionadas ao tratamento de câncer de colo uterino e de mama,21382.0,Aguardando aprovação do CEP,ALICE TACIANA ALVES FERREIRA BEZERRA,09/09/2025 19:27,9 Hr(s) 26 Min 22 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,análise do perfil de pacientes traqueostomizados e do processo de decanulação de um hospital público,1814.0,Projeto aprovado,ANA LINA DE CARVALHO CUNHA SALES,17/08/2022 11:20:15,2 Dia(s) 23 Hr(s) 13 Min 52 Seg,Aguardando avaliação da GEP,Projeto aprovado
HU-UFPI,distúrbios do sono em pacientes atendidos no ambulatório de cuidados paliativos,1779.0,Projeto aprovado,ANA LINA DE CARVALHO CUNHA SALES,17/08/2022 11:20:50,2 Dia(s) 23 Hr(s) 20 Min 42 Seg,Aguardando avaliação da GEP,Projeto aprovado
HU-UFPI,avaliação da sedoanalgesia pelo monitoramento do índice bispectral em uma unidade de terapia intensiva - covid,1612.0,Projeto aprovado,ANA LINA DE CARVALHO CUNHA SALES,27/01/2023 10:24:34,10 Hr(s) 52 Min 11 Seg,Aguardando avaliação da GEP,Projeto aprovado
HU-UFPI,acurácia do exame intra operatório de congelação - uma comparação retrospectiva com o exame de parafina.,1601.0,Em ajuste pelo pesquisador,GINIVALDO VICTOR RIBEIRO DO NASCIMENTO,21/12/2021 16:45:08,7 Dia(s) 23 Hr(s) 48 Min 13 Seg,Em análise pela GEP,Solicitado ajustes
HU-UFPI,qualidade do sono e consumo de psicotrópicos por trabalhadores da saúde da linha de frente no combate à covid-19,1502.0,Projeto aprovado,JOSE MARIA CORREIA LIMA E SILVA,05/06/2024 08:39,21 Hr(s) 55 Min 27 Seg,Aguardando avaliação da GEP,Projeto aprovado
HU-UFPI,sofrimento mental entre profissionais de saúde no combate a pandemia da covid-19: prevalência e estratégias educativas,1501.0,Projeto aprovado,JOSE MARIA CORREIA LIMA E SILVA,05/06/2024 08:39,22 Hr(s) 10 Min 7 Seg,Aguardando avaliação da GEP,Projeto aprovado
HU-UFPI,"ansiedade, depressão e estresse em profissionais dos núcleos internos de regulação no contexto da pandemia por covid-19",1499.0,Projeto aprovado,JOSE MARIA CORREIA LIMA E SILVA,05/06/2024 08:40,22 Hr(s) 14 Min 52 Seg,Aguardando avaliação da GEP,Projeto aprovado
HU-UFPI,doença aterosclerótica coronariana: papel do colesterol não-hdl,1496.0,Projeto aprovado,GINIVALDO VICTOR RIBEIRO DO NASCIMENTO,29/03/2022 11:11:11,6 Dia(s) 23 Hr(s) 30 Min 37 Seg,Aguardando avaliação da GEP,Projeto aprovado
