hu;titulo_projeto;classificacao_institucional_pesquisa;envolve_seres_humanos;delineamento_estudo;tipo_estudo;eh_estudo_multicentrico;eh_projeto_com_coparticipacao;estado_projeto;tempo_decorrido_entre_status_1;tempo_decorrido_entre_status_2
HU-UFPI;Vivência de (re)atualização do desamparo em pacientes adultos em situação de internação hospitalar: uma análise psicanalítica;Programa de Residência Multiprofissional em Atenção a Saúde;True;Pesquisa em psicanálise com análise de discurso;Ciências Sociais e Humanas e Aplicadas em Saúde;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;Vitiligo e qualidade de vida: análise dos casos atendidos na última década no HOSPITAL UNIVERSITÁRIO DAUNIVERSIDADE FEDERAL DO PIAUÍ/ EBSERH;Pesquisa Acadêmica;True;Estudo epidemiológico retrospectivo;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;Variação da espessura macular na tomografia de coerência óptica pré e pós cirurgia de facoemulsificação.;Pesquisa Acadêmica;True;Longitudinal, prospectivo, quantitativo;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;Status nutricional do magnésio, composição corporal e sintomatologia na Síndrome da Fibromialgia em mulheres adultas;Pesquisa Acadêmica;True;Caso-controle;Observacional/Epidemiológico;False;False;Aguardando autorização do setor responsável;Pendente;Pendente
HU-UFPI;SÍNDROME METABÓLICA E COMORBIDADES ASSOCIADAS EM INDIVÍDUOS COM DOENÇAS INFLAMATÓRIAS INTESTINAIS;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Em cadastramento;Pendente;Pendente
HU-UFPI;SÍNDROME DE VOGT-KOYANAGI-HARADA: UM IMPORTANTE DIAGNOSTICO DIFERENCIAL PARA UVEITE AGUDA;RELATO DE CASO;True;Estudo de caso;Observacional/Epidemiológico;False;False;Em ajuste para autorização do setor responsável;Pendente;Pendente
HU-UFPI;SÍNDROME DE BURNOUT E ESTRESSE EM ENFERMEIROS QUE ATUAM EM UM HOSPITAL UNIVERSITÁRIO;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;Shiii;Desenvolvimento tecnológico;True;Caso-controle;Desenvolvimento/Avaliação;False;False;Em cadastramento;Pendente;Pendente
HU-UFPI;RISCO NUTRICIONAL E DESFECHOS CLÍNICOS EM PACIENTES CIRÚRGICOS DO HOSPITAL UNIVERSITÁRIO DA UFPI;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;REAÇÕES EMOCIONAIS DE RESIDENTES MÉDICOS E MULTIPROFISSIONAIS NA ATUAÇÃO EM CUIDADOS PALIATIVOS EM UMA UNIDADE DE TERAPIA INTENSIVA;Pesquisa Acadêmica;True;descritivo-exp´loratorio;Ciências Sociais e Humanas e Aplicadas em Saúde;False;False;Projeto aprovado;112;181
