codigo;titulo;estado_projeto;data_solicitacao;data_ultima_atualizacao;huf;instituicao_proponente;classificacao_institucional;pesquisa_academica;envolve_seres_humanos;palavras_chave;populacao_alvo;tamanho_amostra;produtos_esperados;formacao_academica;tipo_dados;curso_area_conhecimento;abordagem_pesquisa;delineamento_estudo;tipo_estudo;cid;eh_estudo_multicentrico;eh_coordenador;instituicao_coordenadora_estudo;eh_projeto_coparticipacao;outras_instituicoes_participantes;tipo_fomento;instituicao_fomento;valor_bolsas;valor_custeio;valor_capital;valor_total_projeto;data_inicio_previsao;data_fim_previsao;previsao_coleta_dados_huf;data_inicio_coleta_previsao;data_fim_coleta_previsao;local_coleta_dados;possui_aprovacao_comite_etica
17196.0;Avaliação Multicêntrica do uso de antimicrobianos e seu impacto na resistência em UTIs de adultos em hospitais de referência no Brasil;Aguardando aprovação do CEP;2025-01-13 15:48:00;2025-06-06 10:01:00;HU-UFPI;Universidade Federal de Uberlãndia;projpesq;-;False;Multirresistência, IRAS, Estudo Multicentrico, UNIDADE DE TERAPIA INTENSIVA;Pacientes internados na Unidade de Terapia Intensiva Adultos;10.0;Artigo, Dissertação, Pós-doutorado, Relatório final do projeto, Resumo publicado em Anais, TCC graduação, Tese;Mestrado;Primário;Ciências Biológicas;Quanti-qualitativa;Caso-controle;Observacional/Epidemiológico;-;True;False;Universidade Federal de Uberlãndia;True;Hospital Santa Casa de MisericÃ³rdia de Araguari;Público nacional;CNPq;46000.0;254000.0;300000.0;600000.0;2024-01-07;2027-12-30;True;2025-06-19;2025-08-31;Setor da gest?o do controle de informa?es prontu?rios e ou Scih.;
12786.0;DrugSensi: Inovação no tratamento de infecções hospitalares;Aguardando autorização do setor responsável;2024-04-23 15:47:00;2024-04-10 11:17:00;HU-UFPI;Universidade Federal do Piauí;Pesquisa Acadêmica;Mestrado;True;resistência a antibióticos, tratamento personalizado, processamento de linguagem natural, Multirresistência bacteriana;Pacientes com infecções bacterianas;5.0;Artigo, Dissertação, Guidelines, Patente, Registro de Software;Especialização;Primário;Ciências Exatas e da Terra;Quanti-qualitativa;Estudo de caso;Comprovação de Medodologia Computacional;Algumas doenças infecciosas e parasitárias.;False;;-;True;CIATEN;Público nacional;CNPq;124800.0;0.0;0.0;124800.0;2024-05-15;2026-05-15;True;2024-01-12;2025-01-06;-;
10444.0;Programa Stewardship de Antimicrobianos: Formação, implementação e ênfase em estratégias de ajuste de dose em instituições de saúde de Teresina.;Em ajuste para autorização do setor responsável;2023-10-23 10:09:00;2024-12-07 10:20:00;HU-UFPI;Universidade Federal do Piauí;Projeto de Extensão;-;False;Antibióticos, Programa Stewardship de Antimicrobianos, Resistência bacteriada, Ajuste de dose de medicamentos;"Fase 1: residentes e equipe multiprofissional da Saúde; Fase 2: pacientes internados e assistidos em Unidades de Terapia Intensina";5.1;Artigo, Guidelines, Protocolo assistencial, Relatório final do projeto, Resumo publicado em Anais;Mestrado Profissional;Primário;Ciências da Saúde;Quanti-qualitativa;Coorte;Desenvolvimento/Avaliação;Algumas doenças infecciosas e parasitárias.;False;;-;True;Hospital SÃƒÂƒÃ‚Â£o Marcos;Público nacional;Fundação de Amparo a Pesquisa do Estado do Piauí;9600.0;10000.0;10000.0;29600.0;2023-11-30;2024-10-31;True;2023-01-12;2024-10-31;Receitu?rio dos pacientes internados nas Unidades de Tratamento Intensivo.;False
11622.0;AVALIAÇÃO DOS FATORES ASSOCIADOS À PRÁTICA BASEADA EM EVIDÊNCIAS (PBE) EM HOSPITAIS UNIVERSITÁRIOS FEDERAIS DO NORDESTE BRASILEIRO: UM MODELO DE EQUAÇÃO ESTRUTURAL;Em cadastramento;2024-02-02 11:55:00;2024-02-02 11:58:00;HU-UFPI;Universidade Federal do Vale do São Francisco - UNIVASF;Pesquisa Acadêmica;Iniciação Científica;True;Hospitais Universitários, Prática Clínica Baseada em Evidências, Cuidado à Saúde Baseado em Evidências, Modelagem de Equações Estruturais;Profissionais de saúde que atuam em hospitais universitários federais (HUF) do Nordeste brasileiro que possuem Núcleo de Avaliação de Tecnologias em Saúde (NATS).;670.0;Artigo;Mestrado Profissional;Primário;Ciências da Saúde;Quantitativa;Transversal;Desenvolvimento/Avaliação;-;True;True;-;True;Universidade Federal de Pernambuco - UFPE;Público nacional;Universidade Federal do Vale do São Francisco;8400.0;0.0;0.0;8400.0;2023-01-10;2024-09-30;True;2024-01-02;2024-06-30;HUL-UFS HU-UFPI Huol-UFRN Huab-UFRN HU-UFS Maternidade Clim?rio de Oliveira Hospital Universit?rio Edgard Santos Complexo Hospitalar da UFC HU-UFMA Hospital Universit?rio Lauro Wanderley de Freitas Hospital das Cl?nicas da UFPE HU - UNIVASF;
1135.0;Efeitos de treinamento de habilidades socioafetivas no trabalho colaborativo em equipes interprofissionais de saúde.;Projeto aprovado;2021-09-22 13:06:00;2023-10-05 17:37:00;HU-UFPI;Universidade de Brasília;Pesquisa Acadêmica;Doutorado;True;residência multiprofissional, aprendizagem, habilidades socioafetivas, treinamento e desenvolvimento, trabalho colaborativo;Residentes Multiprofissionais;50.0;Tese;Especialização - Residência Médica;Primário;Ciências Humanas;Quanti-qualitativa;Experimental;Desenvolvimento/Avaliação;-;True;True;-;True;Hospital UniversitÃƒÂ¡rio de BrasÃƒÂ­lia, Outros Hospitais UniversitÃƒÂ¡rios no Brasil;Público nacional;CAPES;2200.0;2200.0;2200.0;6600.0;2021-01-10;2022-06-30;True;2021-01-10;2022-06-30;-;True
7836.0;Polimorfismo do receptor da Vitamina D e sua associação com marcadores bioquímicos e antropométricos em idosos com e sem hipertensão arterial.;Aguardando autorização do setor responsável;2023-10-04 15:17:00;2023-12-04 09:48:00;HU-UFPI;Universidade Federal do Piauí;Pesquisa Acadêmica;Iniciação Científica;True;Osteoporose, Hipertensão, Fragilidade, Vitamina D, Polimorfismos;Idosos hipertensos e não hipertensos;384.0;Artigo, Relatório final do projeto, Resumo publicado em Anais, TCC graduação;Mestrado Profissional;Primário;Ciências da Saúde;Quanti-qualitativa;Transversal;Desenvolvimento/Avaliação;Doenças endócrinas, nutricionais e metabólicas.;False;;-;True;Universidade Federal do Piaui - Departamento de NutriÃƒÂƒÃ‚Â§ÃƒÂƒÃ‚Â£o;Público nacional;Cnpq;700.0;2290.29;350.0;3340.29;2023-05-15;2024-05-15;True;2023-05-22;2024-02-29;Ambulatorio que atenda pacientes idosos hipertensos e n?o hipertensos, de acordo com os itens de elegibilidade.;
5064.0;Registro Cardiovascular de Fibrilação Atrial na América Latina (LACROSS);Projeto aprovado;2022-09-22 12:29:00;2023-03-03 10:38:00;HU-UFPI;BCRI - Brazilian Clinical Research Institute;Pesquisa Acadêmica;Iniciação Científica;True;fibrilação atrial, anticoagulação, acidente vascular cerebral;Pacientes com fibrilação atrial;3.5;Artigo, Relatório final do projeto, Resumo publicado em Anais, TCC graduação, TCC residência;Mestrado Profissional;Primário;Ciências da Saúde;Quanti-qualitativa;Coorte;Observacional/Epidemiológico;Doenças do aparelho circulatório.;True;False;BCRI - Brazilian Clinical Research Institute;True;Hospital UniversitÃ¡rio da Universidade Federal do PiauÃ­;Privado nacional;Instituto Brasileiro de Pesquisa Clínica - BCRI;0.0;100.0;0.0;100.0;2022-01-07;2025-02-28;True;2022-01-12;2023-12-31;Unidade Cardiovascular;True
4559.0;DESFECHOS DE PACIENTES COM ESTOMIA SUBMETIDOS A RECONSTRUÇÃO DE TRÂNSITO INTESTINAL;Projeto aprovado;2022-11-08 02:05:00;2023-03-02 10:53:00;HU-UFPI;Universidade Estadual do Piauí;Pesquisa Acadêmica;TCC de Especialização;True;Ostomia, Enteroanastomose, Enfermagem, Estomias, Estomaterapia.;Pacientes que realizaram reconstrução de transito intestinal;100.0;Artigo, Protocolo assistencial, Resumo publicado em Anais;Mestrado Profissional;Secundário;Ciências da Saúde;Quanti-qualitativa;Transversal;Observacional/Epidemiológico;Doenças do aparelho digestivo.;True;True;-;True;UESPI- EspecializaÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â§ÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â£o em Estomaterapia;Público nacional;não se aplica;0.0;400.0;126.6;526.6;2022-01-11;2023-04-30;True;2022-01-11;2023-03-31;TAB NET;True
5556.0;CARACTERÍSTICAS CLÍNICAS, COINFECÇÃO E DESFECHO DE PACIENTES COM A COVID-19;Aguardando aprovação do CEP;2022-08-11 11:37:00;2023-03-01 16:53:00;HU-UFPI;UNIVERSIDADE FEDERAL DO PIAUÍ;Pesquisa Acadêmica;Doutorado;True;Infecção Hospitalar, Infecções por Coronavírus, COVID-19;Pacientes adultos atendidos com diagnóstico de covid-19;300.0;Artigo;Mestrado Profissional;Secundário;Ciências da Saúde;Quantitativa;Caso-controle;Observacional/Epidemiológico;Algumas doenças infecciosas e parasitárias.;False;;-;True;Hospital UniversitÃƒÂ¡rio da UFPI;Público nacional;CNPq;2594.0;10275.0;1491.0;14360.0;2021-01-11;2023-09-29;True;2023-03-04;2023-05-31;Os dados ser?o coletados dos prontu?rios eletr?nicos dos pacientes diagnosticados com COVID-19, presentes no sistema do Hospital Universit?rio. A coleta ser? realizada por meio de um formul?rio.;
4169.0;ESTUDO MULTICÊNTRICO EPIDEMIOLÓGICO - REGISTRO DE PACIENTES COM DOENÇA DE CROHN E RETOCOLITE ULCERATIVA NO BRASIL;Projeto aprovado;2022-12-07 09:22:00;2022-08-23 07:51:00;HU-UFPI;GEDIIB;Desenvolvimento tecnológico;-;True;Doença inflamatória intestinal, Doença de Crohn, Retocolite ulcerativa, Epidemiologia;Pacientes com doenças inflamatórias intestinais;20.0;Artigo;Mestrado Profissional;Primário;Ciências da Saúde;Quantitativa;Transversal;Observacional/Epidemiológico;Doenças do aparelho digestivo.;True;False;GEDIIB;True;GEDIIB;Privado nacional;GEDIIB;0.0;0.0;0.0;;2022-10-31;2024-12-31;True;2022-10-31;2024-07-31;SETOR DE REGULA??O - PRONTU?RIOS UNIDADE DE GASTROENTEROLOGIA;True
