hu;titulo do projeto;classificacao institucional da pesquisa;projeto envolve seres humanos;delineamento do estudo;tipo de estudo;e estudo multicentrico;e projeto com co participacao;estado do projeto;tempo decorrido entre status 1;tempo decorrido entre status 2
HU-UFPI;vivência de (re)atualização do desamparo em pacientes adultos em situação de internação hospitalar: uma análise psicanalítica;Programa de Residência Multiprofissional em Atenção a Saúde;True;Pesquisa em psicanálise com análise de discurso;Ciências Sociais e Humanas e Aplicadas em Saúde;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;vitiligo e qualidade de vida: análise dos casos atendidos na última década no hospital universitário dauniversidade federal do piauí/ ebserh;Pesquisa Acadêmica;True;Estudo epidemiológico retrospectivo;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;variação da espessura macular na tomografia de coerência óptica pré e pós cirurgia de facoemulsificação.;Pesquisa Acadêmica;True;Longitudinal, prospectivo, quantitativo;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;status nutricional do magnésio, composição corporal e sintomatologia na síndrome da fibromialgia em mulheres adultas;Pesquisa Acadêmica;True;Caso-controle;Observacional/Epidemiológico;False;False;Aguardando autorização do setor responsável;Pendente;Pendente
HU-UFPI;síndrome metabólica e comorbidades associadas em indivíduos com doenças inflamatórias intestinais;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Em cadastramento;Pendente;Pendente
HU-UFPI;síndrome de vogt-koyanagi-harada: um importante diagnostico diferencial para uveite aguda;RELATO DE CASO;True;Estudo de caso;Observacional/Epidemiológico;False;False;Em ajuste para autorização do setor responsável;Pendente;Pendente
HU-UFPI;síndrome de burnout e estresse em enfermeiros que atuam em um hospital universitário;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;shiii;Desenvolvimento tecnológico;True;Caso-controle;Desenvolvimento/Avaliação;False;False;Em cadastramento;Pendente;Pendente
HU-UFPI;risco nutricional e desfechos clínicos em pacientes cirúrgicos do hospital universitário da ufpi;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;reações emocionais de residentes médicos e multiprofissionais na atuação em cuidados paliativos em uma unidade de terapia intensiva;Pesquisa Acadêmica;True;descritivo-exp´loratorio;Ciências Sociais e Humanas e Aplicadas em Saúde;False;False;Projeto aprovado;112;181
