codigo;titulo;estado_projeto;data_solicitacao;data_ultima_atualizacao;huf;instituicao_proponente;classificacao_institucional;pesquisa_academica;envolve_seres_humanos;palavras_chave;populacao_alvo;tamanho_amostra;produtos_esperados;formacao_academica;tipo_dados;curso_area_conhecimento;abordagem_pesquisa;delineamento_estudo;tipo_estudo;cid;eh_estudo_multicentrico;eh_coordenador;instituicao_coordenadora_estudo;eh_projeto_coparticipacao;outras_instituicoes_participantes;tipo_fomento;instituicao_fomento;valor_bolsas;valor_custeio;valor_capital;valor_total_projeto;data_inicio_previsao;data_fim_previsao;previsao_coleta_dados_huf;data_inicio_coleta_previsao;data_fim_coleta_previsao;local_coleta_dados;possui_aprovacao_comite_etica
5064.0;registro cardiovascular de fibrilação atrial na américa latina (lacross);Projeto aprovado;;2023-03-03 10:38:00;HU-UFPI;BCRI - Brazilian Clinical Research Institute;Pesquisa Acadêmica;Iniciação Científica;True;fibrilação atrial, anticoagulação, acidente vascular cerebral;Pacientes com fibrilação atrial;3.5;Artigo, Relatório final do projeto, Resumo publicado em Anais, TCC graduação, TCC residência;Mestrado Profissional;Primário;Ciências da Saúde;Quanti-qualitativa;Coorte;Observacional/Epidemiológico;Doenças do aparelho circulatório.;True;False;BCRI - Brazilian Clinical Research Institute;True;Hospital UniversitÃ¡rio da Universidade Federal do PiauÃ­;Privado nacional;Instituto Brasileiro de Pesquisa Clínica - BCRI;0.0;100.0;0.0;100.0;2022-01-07;2025-02-28;True;2022-01-12;2023-12-31;Unidade Cardiovascular;True
7836.0;polimorfismo do receptor da vitamina d e sua associação com marcadores bioquímicos e antropométricos em idosos com e sem hipertensão arterial.;Aguardando autorização do setor responsável;;2023-12-04 09:48:00;HU-UFPI;Universidade Federal do Piauí;Pesquisa Acadêmica;Iniciação Científica;True;Osteoporose, Hipertensão, Fragilidade, Vitamina D, Polimorfismos;Idosos hipertensos e não hipertensos;384.0;Artigo, Relatório final do projeto, Resumo publicado em Anais, TCC graduação;Mestrado Profissional;Primário;Ciências da Saúde;Quanti-qualitativa;Transversal;Desenvolvimento/Avaliação;Doenças endócrinas, nutricionais e metabólicas.;False;;-;True;Universidade Federal do Piaui - Departamento de NutriÃƒÂƒÃ‚Â§ÃƒÂƒÃ‚Â£o;Público nacional;Cnpq;700.0;;350.0;;2023-05-15;2024-05-15;True;2023-05-22;2024-02-29;Ambulatorio que atenda pacientes idosos hipertensos e n?o hipertensos, de acordo com os itens de elegibilidade.;
5845.0;estudo de preditores precoces de cardiotoxicidade decorrente do tratamento do câncer de mama;Projeto aprovado;;2023-05-19 10:46:00;HU-UFPI;Universidade Federal de Minas Gerais;Pesquisa Acadêmica;Doutorado;True;Breast Neoplasms, Cardiotoxicity, Autonomic Nervous System Diseases;Mulheres com câncer de mama;22.0;Artigo, Relatório final do projeto, Resumo publicado em Anais, Tese;Mestrado Profissional;Primário;Ciências da Saúde;Quantitativa;Coorte;Observacional/Epidemiológico;Neoplasmas (tumores).;False;;-;True;Universidade Federal do PiauÃ­;Privado nacional;Fundação de Amparo à Pesquisa do Estado de Minas Gerais - FAPEMIG;;;;;2023-06-03;2025-01-09;True;2023-03-27;2024-10-31;Setor de Imagem / Cardiologia;True
11622.0;avaliação dos fatores associados à prática baseada em evidências (pbe) em hospitais universitários federais do nordeste brasileiro: um modelo de equação estrutural;Em cadastramento;;2024-02-02 11:58:00;HU-UFPI;Universidade Federal do Vale do São Francisco - UNIVASF;Pesquisa Acadêmica;Iniciação Científica;True;Hospitais Universitários, Prática Clínica Baseada em Evidências, Cuidado à Saúde Baseado em Evidências, Modelagem de Equações Estruturais;Profissionais de saúde que atuam em hospitais universitários federais (HUF) do Nordeste brasileiro que possuem Núcleo de Avaliação de Tecnologias em Saúde (NATS).;670.0;Artigo;Mestrado Profissional;Primário;Ciências da Saúde;Quantitativa;Transversal;Desenvolvimento/Avaliação;-;True;True;-;True;Universidade Federal de Pernambuco - UFPE;Público nacional;Universidade Federal do Vale do São Francisco;;0.0;0.0;;2023-01-10;2024-09-30;True;2024-01-02;2024-06-30;HUL-UFS HU-UFPI Huol-UFRN Huab-UFRN HU-UFS Maternidade Clim?rio de Oliveira Hospital Universit?rio Edgard Santos Complexo Hospitalar da UFC HU-UFMA Hospital Universit?rio Lauro Wanderley de Freitas Hospital das Cl?nicas da UFPE HU - UNIVASF;
17196.0;avaliação multicêntrica do uso de antimicrobianos e seu impacto na resistência em utis de adultos em hospitais de referência no brasil;Aguardando aprovação do CEP;;2025-06-06 10:01:00;HU-UFPI;Universidade Federal de Uberlãndia;projpesq;-;False;Multirresistência, IRAS, Estudo Multicentrico, UNIDADE DE TERAPIA INTENSIVA;Pacientes internados na Unidade de Terapia Intensiva Adultos;10.0;Artigo, Dissertação, Pós-doutorado, Relatório final do projeto, Resumo publicado em Anais, TCC graduação, Tese;Mestrado;Primário;Ciências Biológicas;Quanti-qualitativa;Caso-controle;Observacional/Epidemiológico;-;True;False;Universidade Federal de Uberlãndia;True;Hospital Santa Casa de MisericÃ³rdia de Araguari;Público nacional;CNPq;;;;;2024-01-07;2027-12-30;True;2025-06-19;2025-08-31;Setor da gest?o do controle de informa?es prontu?rios e ou Scih.;
5833.0;impacto da implementação de protocolo nutricional que mimetiza o jejum no paciente com câncer de mama atendido pelo sus: uma proposta sobre a redução dos efeitos colaterais, qualidade de vida, progressão, metástase e sensibilização tumoral.;Em ajuste para autorização do setor responsável;;2025-09-16 18:51:00;HU-UFPI;Universidade Federal do Piauí - UFPI;Pesquisa Acadêmica;Doutorado;True;Dieta que mimetiza jejum, Câncer de mama, Tratamento neoadjuvante;Mulheres com câncer de mama estadiamento I, II ou III indicada para tratamento neoadjuvante;100.0;Tese, Resumo publicado em Anais, Relatório final do projeto, Pós-doutorado, Dissertação, Capítulo de livro, Artigo;Mestrado Profissional;Primário;Ciências da Saúde;Quantitativa;Ensaio Clínico;Experimental/Clínico;Neoplasmas (tumores).;False;;-;True;ONCOBEM, ONCOCENTER;Público nacional;FAPEPI;0.0;;;;2020-07-07;2028-12-29;True;2022-05-12;2028-10-31;UNACOM;
9265.0;programa stewardship de antimicrobianos: formação, implementação e ênfase em estratégias de ajuste de dose em instituições de saúde de teresina.;Em ajuste para autorização do setor responsável;;2023-10-23 10:24:00;HU-UFPI;Universidade Federal do Piauí;Desenvolvimento tecnológico;-;False;Antibiótico, Programa Stewardship de Antibióticos, Ajuste de dose de medicamentos;"Fase 1: residentes e equipe multiprofissional da Saúde; Fase 2: pacientes internados e assistidos em Unidades de Terapia Intensina";5.1;Guidelines, Protocolo assistencial, Registro de Software, Relatório final do projeto;Mestrado Profissional;Primário;Ciências da Saúde;Quanti-qualitativa;Coorte;Desenvolvimento/Avaliação;Algumas doenças infecciosas e parasitárias.;False;;-;True;Hospital SÃƒÂ£o Marcos;Público nacional;Fundação de Amparo à Pesquisa do Estado do Piauí;;;;;2023-01-09;2025-08-31;False;;;-;False
12786.0;drugsensi: inovação no tratamento de infecções hospitalares;Aguardando autorização do setor responsável;;2024-04-10 11:17:00;HU-UFPI;Universidade Federal do Piauí;Pesquisa Acadêmica;Mestrado;True;resistência a antibióticos, tratamento personalizado, processamento de linguagem natural, Multirresistência bacteriana;Pacientes com infecções bacterianas;5.0;Artigo, Dissertação, Guidelines, Patente, Registro de Software;Especialização;Primário;Ciências Exatas e da Terra;Quanti-qualitativa;Estudo de caso;Comprovação de Medodologia Computacional;Algumas doenças infecciosas e parasitárias.;False;;-;True;CIATEN;Público nacional;CNPq;;0.0;0.0;;2024-05-15;2026-05-15;True;2024-01-12;2025-01-06;-;
1135.0;efeitos de treinamento de habilidades socioafetivas no trabalho colaborativo em equipes interprofissionais de saúde.;Projeto aprovado;;2023-10-05 17:37:00;HU-UFPI;Universidade de Brasília;Pesquisa Acadêmica;Doutorado;True;residência multiprofissional, aprendizagem, habilidades socioafetivas, treinamento e desenvolvimento, trabalho colaborativo;Residentes Multiprofissionais;50.0;Tese;Especialização - Residência Médica;Primário;Ciências Humanas;Quanti-qualitativa;Experimental;Desenvolvimento/Avaliação;-;True;True;-;True;Hospital UniversitÃƒÂ¡rio de BrasÃƒÂ­lia, Outros Hospitais UniversitÃƒÂ¡rios no Brasil;Público nacional;CAPES;;;;;2021-01-10;2022-06-30;True;2021-01-10;2022-06-30;-;True
4284.0;“estimulação do sistema his-purkinje versus estimulação biventricular na ressincronização cardíaca em pacientes com insuficiência cardíaca congestiva”;Aguardando aprovação do CEP;;2022-07-25 14:34:00;HU-UFPI;Hospital Universitário da Universidade Federal do Piauí;Pesquisa Acadêmica;Residência;True;Terapia de Ressincronização Cardíaca, Dispositivos de Terapia de Ressincronização Cardía, Insuficiência Cardíaca Congestiva;Pacientes portadores de insuficiência cardíaca crônica com FEVE < ou = a 35% e BRE com QRS > ou = a 130 ms.;304.0;Artigo, Guidelines, Resumo publicado em Anais, TCC residência;Mestrado Profissional;Primário;Ciências da Saúde;Quanti-qualitativa;Coorte;Experimental/Clínico;Doenças do aparelho circulatório.;True;False;HOSPITAL MOINHOS DE VENTO;True;Hospital UniversitÃ¡rio da Universidade Federal do PiauÃ­;Público nacional;PROADI-SUS;0.0;0.0;;;2022-03-01;2023-10-31;True;2022-07-19;2023-07-31;Unidade Cardiovascular;
