HU,Título do Projeto,Classificação Institucional da Pesquisa,Projeto envolve seres humanos,Delineamento do Estudo,Tipo de Estudo,É estudo multicêntrico,É projeto com co-participação,Estado do projeto,Tempo decorrido entre status,Tempo decorrido entre status.1
,nan,,,,,,,,"""Aguardando aprovação do CEP""","""Em análise pelo GEP"""
HU-UFPI,análise de dimensões antropomórficas não usuais em pacientes com síndrome metabólica do serviço de endocrinologia em hospital universitário,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Em cadastramento,Pendente,Pendente
HU-UFPI,análise das alterações clínicas e histopatológicas do refluxo gastroesofágico pós-gastrectomia vertical,Pesquisa Acadêmica,Sim,Prospectivo,Prospectivo observacional,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,avaliação do estilo de vida dos médicos residentes do hospital universitário da universidade federal do piauí,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Em cadastramento,Pendente,Pendente
HU-UFPI,capacidade funcional de mulheres em quimioterapia paliativa por neoplasia mamária em hospital universitário,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,caracterização das reações transfusionais imediatas no hospital universitário do piauí,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,cateter central de inserção periférica: análise do uso em pacientes adultos hospitalizados,Pesquisa Acadêmica,Sim,Transversal,Transversal analítico,Não,Não,Em ajuste pelo pesquisador,Pendente,Pendente
HU-UFPI,complicações dos pacientes com valvopatia aórtica importante submetidos à cirurgia de troca valvar em um hospital universitário,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Em ajuste pelo pesquisador,Pendente,Pendente
HU-UFPI,estudo de preditores precoces de cardiotoxicidade decorrente do tratamento do câncer de mama,Pesquisa Acadêmica,Sim,Coorte,Observacional/Epidemiológico,Não,Sim,Em cadastramento,Pendente,Pendente
HU-UFPI,eventos cardiovasculares em pacientes internados com covid-19 em unidade de terapia intensiva: um estudo observacional retrospectivo,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Em cadastramento,Pendente,Pendente
HU-UFPI,injúria renal aguda no trans e pós-operatório de cirurgia nasal endoscópica funcional e estética em um hospital universitário,Pesquisa Acadêmica,Sim,Estudo longitudinal prospectivo,De caráter descritivo e quantitativo.,Não,Não,Em ajuste pelo pesquisador,Pendente,Pendente
HU-UFPI,perfil clínico e epidemiológicos dos pacientes internados na enfermaria de dermatologia do hospital universitário de teresina no período de 2015 a 2021,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Projeto aprovado,114,137
HU-UFPI,perfil clínico e terapêutico dos pacientes com hipertireoidismo atendidos no ambulatório de endocrinologia de um hospital universitário,Desenvolvimento tecnológico,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,qualidade de vida de pacientes com insuficiência mitral primária submetidos a procedimento cirúrgico no hu-ufpi,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,uso de pessários como alternativa ao tratamento cirúrgico de prolapsos genitais,Pesquisa Acadêmica,Sim,,,,,Em cadastramento,Pendente,Pendente
