HU,Título do Projeto,Classificação Institucional da Pesquisa,Projeto envolve seres humanos,Delineamento do Estudo,Tipo de Estudo,É estudo multicêntrico,É projeto com co-participação,Estado do projeto,Tempo decorrido entre status,Tempo decorrido entre status.1
,,,,,,,,,"""Aguardando aprovação do CEP""","""Em análise pelo GEP"""
,,,,,,,,,"e ""Projeto aprovado"" (dias)","e ""Projeto aprovado"" (dias)"
HU-UFPI,Acurácia do Exame Intra Operatório de Congelação - Uma comparação retrospectiva com o exame de parafina.,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Sim,Não,Em ajuste pelo pesquisador,Pendente,Pendente
HU-UFPI,A GESTÃO DE DESEMPENHO POR COMPETÊNCIA COMO FERRAMENTA DE AVALIAÇÃO EM UMA EMPRESA PÚBLICA NO PIAUÍ,Pesquisa Acadêmica,Sim,Aplicação de questionário com perguntas abertas.,Desenvolvimento/Avaliação,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,ANÁLISE DAS RELAÇÕES ENTRE AS CARACTERÍSTICAS ORGANIZACIONAIS E O USO DE INDICADORES DE DESEMPENHO NO ÂMBITO DOS HOSPITAIS PÚBLICOS VINCULADOS À EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES - EBSERH,Pesquisa Acadêmica,Não,Transversal,Desenvolvimento/Avaliação,Não,Não,Projeto aprovado,,83
HU-UFPI,Análise de dimensões antropomórficas não usuais em pacientes com síndrome metabólica do serviço de endocrinologia em Hospital Universitário,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Em cadastramento,Pendente,Pendente
HU-UFPI,AVALIAÇÃO DA QUALIDADE DE VIDA ANTES E 6 MESES APÓS A INSERÇÃO DO SISTEMA INTRAUTERINO LIBERADOR DE LEVONORGESTREL (SIU-LNG),Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,AVALIAÇÃO DA QUALIDADE DE VIDA EM PACIENTES COM DIAGNÓSTICO DE ALOPECIA AREATA,Pesquisa Acadêmica,Sim,Transversal,Ciências Sociais e Humanas e Aplicadas em Saúde,Não,Não,Em ajuste pelo pesquisador,Pendente,Pendente
HU-UFPI,AVALIAÇÃO DOS ACHADOS RADIOGRÁFICOS EM RADIOGRAFIAS PANORÂMICAS DOS MAXILARES REALIZADAS NO HOSPITAL UNIVERSITÁRIO - UFPI,Levantamento radiográfico,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,CORRELAÇÃO ULTRASSONOGRÁFICA E HISTOLÓGICA DE LESÕES MAMÁRIAS SUBMETIDAS A BIÓPSIA,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
