Arquivo,Título Duplicado
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,a
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,acne e mídia social: avaliação do conteúdo em português (brasil) disponível no tiktok
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,acompanhamento em tempo real da função renal de pacientes em uso de vancomicina: análise e desenvolvimento de ferramenta para ajuste de dose
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,análise da indicação de transfusões de hemácias em um hospital da rede pública em teresina-pi
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,análise das alterações clínicas e histopatológicas do refluxo gastroesofágico pós-gastrectomia vertical
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,análise de dimensões antropomórficas não usuais em pacientes com síndrome metabólica do serviço de endocrinologia em hospital universitário
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,análise dos pedidos de interconsulta destinados à oftalmologia no hospital universitário da universidade federal do piauí
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,análise e comparação da reprodutibilidade e concordância intra e interobservadores das classificações de garden e ao para fratura de colo do fêmur
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,aspectos epidemiológicos de pacientes atendidos em tele eletrocardiografia no núcleo de telessaúde da ufpi
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,associação entre os dominios da religiosidade com a preservação das funções cognitivas em pacientes com diagnostico de doença de parkinson idiopatica
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,avaliação da condição de fadiga em pacientes com retocolite ulcerativa no hospital universitário da universidade federal do piauí
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,"avaliação da eficácia do poli-hexametileno biguanida na prevenção de infecções pós-operatórias em cirurgias de prótese de quadril: uma análise abrangente dos resultados, efeitos colaterais e fatores de risco"
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,avaliação da influência das funções visuoespacial e executiva na percepção social em pacientes com doença de parkinson idiopática
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,avaliação da sedoanalgesia pelo monitoramento do índice bispectral em uma unidade de terapia intensiva - covid
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,avaliação da terapia à vácuo endoscópica em pacientes de um hospital universitário.
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,avaliação do estilo de vida dos médicos residentes do hospital universitário da universidade federal do piauí
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,capacidade funcional de mulheres em quimioterapia paliativa por neoplasia mamária em hospital universitário
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,caracterização das reações transfusionais imediatas no hospital universitário do piauí
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,características clínicas e epidemiológicas de pacientes submetidos a terapia de ablação por catéter atendidos em hospital terciário
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,"características clínicas, coinfecção e desfecho de pacientes com a covid-19"
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,cateter central de inserção periférica: análise do uso em pacientes adultos hospitalizados
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,comparação de escores de risco cardiovascular em cirurgia vascular arterial
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,complicações dos pacientes com valvopatia aórtica importante submetidos à cirurgia de troca valvar em um hospital universitário
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,condição de saúde bucal e necessidade de tratamento odontológico de pacientes internados na unidade de terapia intensiva do hu-ufpi/ebserh
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,conhecimento de pacientes internados e acompanhantes sobre segurança do paciente : estudo transversal
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,construção e validação de tecnologias educativas sobre orientações nutricionais para tratamento quimioterápico ambulatorial
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,criação de interface entre sistemas de monitorização em terapia intensiva e construção de painel digital dinâmico
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,desenvolvimento de dataset e de algoritmo para o reconhecimento de acometimento cognitivo na doença de parkinson baseado em aprendizado por inteligência artificial
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,desenvolvimento de um sistema de pontuação de risco para infertilidade
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,disbiose intestinal e estado nutricional em pacientes internados com doenças autoimunes em um hospital universitário
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,distúrbios perceptivos em pacientes com esquizofrenia e transtorno de personalidade borderline: a visão do clínico
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,estimulação cerebral profunda na doença de parkinson: análise de qualidade de vida
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,estudo de preditores precoces de cardiotoxicidade decorrente do tratamento do câncer de mama
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,estudo de prevalência de pneumonia associada a ventilação mecânica em pacientes submetidos a cirurgia cardíaca na uti do hospital universitário da universidade federal do piauí no período de 2022-2024.
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,estudo epidemiológico do registro de transtornos de personalidade no hospital universitário - ufpi no período de 2013 a 2024
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,eventos cardiovasculares em pacientes internados com covid-19 em unidade de terapia intensiva: um estudo observacional retrospectivo
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,impacto da reabilitação motora no segmento cognitivo de pacientes submetidos a cirurgia de medula espinhal
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,impacto de um protocolo pré-operatório de treinamento muscular inspiratório no desfecho de pacientes submetidos a cirurgia cardíaca
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,implementação de um protocolo de triagem respiratória em pacientes com lesão medular cervical e torácica na fase pré-operatória
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,incidência de lesão por pressão: análise da existência de subnotificação
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,injúria renal aguda no trans e pós-operatório de cirurgia nasal endoscópica funcional e estética em um hospital universitário
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,modelo de prescrição médica para terapia empírica antimicrobiana
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,nan
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,não inferioridade da dapaglifozina em relação a hidroclorotiazida como anti-hipertensivo em monoterapia na hipertensão arterial estagio i
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,olhar para a paliação: desenvolvimento de material educativo para cuidadores de pacientes em cuidados paliativos em um hospital universitário
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,padrão epidemiológico e tendência temporal das internações hospitalares da rede ebserh - 2012 a 2023
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,percepção e cuidados da saúde mental de pacientes com obesidade
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,perfil anátomo-clínico dos casos de melanoma cutâneo atendidos no hospital universitário da universidade federal do piauí
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,perfil clínico dos pacientes com elevada suspeita de nefropatia hereditária no hospital universitário do piauí
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,perfil clínico e epidemiológicos dos pacientes internados na enfermaria de dermatologia do hospital universitário de teresina no período de 2015 a 2021
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,perfil clínico e terapêutico dos pacientes com hipertireoidismo atendidos no ambulatório de endocrinologia de um hospital universitário
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,"perfil clínico, diagnóstico, terapêutico e epidemiológico de pacientes com doenças neurológicas raras atendidos em ambulatório especializado do piauí"
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,perfil de mulheres negras autodentificadas submetidas à cirurgia por leiomiomas
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,perfil de mulheres negras autoidentificadas submetidas à cirurgia por leiomiomas
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,perfil dos pacientes cirúrgicos eletivos pós-pandemia da covid-19
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,perfil dos pacientes pós-jejunostomia em um hospital universitário do estado do piauí
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,"peróxido de hidrogênio e luz ultravioleta para desinfecção de superfícies em unidades de terapia intensiva: um ensaio clínico, randomizado, controlado, em cluster, com crossover."
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,prevalência e fatores associados à complicações no pós-operatório de cirurgias de revascularização do miocárdio em um hospital universitário do nordeste do brasil
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,"programa stewardship de antimicrobianos: formação, implementação e ênfase em estratégias de ajuste de dose em instituições de saúde de teresina."
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,proposta de uso da calculadora calcvan para dosagem de vancomicina em pacientes da uti de um hospital universitário
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,qualidade de vida de pacientes com insuficiência mitral primária submetidos a procedimento cirúrgico no hu-ufpi
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,qualidade de vida e função sexual em mulheres no período pré-operatório à histerectomia
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,raro exemplo de carcinoma adenoide cístico: um relato de caso
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,sazonalidade da fadiga na doença de parkinson em local de alta temperatura
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,teste
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,uma proposta de classificação para acessos venosos centrais e suas possiveis complicações precoces
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,uso de pessários como alternativa ao tratamento cirúrgico de prolapsos genitais
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,vacinação contra hpv: perfil de conhecimento dos colaboradores do hospital universitário da universidade federal do piauí (hu - ufpi)
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,valor prognóstico da tomografia computadorizada do tórax na avaliação prognóstica de pacientes internados com covid-19 em um hospital de alta complexidade no nordeste do brasil
relatorio_acompanhamento_projetos (870)(in) (1)_filtrado.csv,variáveis preditoras de conversão de comprometimento cognitivo leve para demência na doença de parkinson: estudo baseado em registros do hospital universitário - ufpi
relatorio_projetos (870)(in)_filtrado.csv,a
relatorio_projetos (870)(in)_filtrado.csv,acne e mídia social: avaliação do conteúdo em português (brasil) disponível no tiktok
relatorio_projetos (870)(in)_filtrado.csv,acompanhamento em tempo real da função renal de pacientes em uso de vancomicina: análise e desenvolvimento de ferramenta para ajuste de dose
relatorio_projetos (870)(in)_filtrado.csv,análise da indicação de transfusões de hemácias em um hospital da rede pública em teresina-pi
relatorio_projetos (870)(in)_filtrado.csv,análise das alterações clínicas e histopatológicas do refluxo gastroesofágico pós-gastrectomia vertical
relatorio_projetos (870)(in)_filtrado.csv,análise de dimensões antropomórficas não usuais em pacientes com síndrome metabólica do serviço de endocrinologia em hospital universitário
relatorio_projetos (870)(in)_filtrado.csv,análise dos pedidos de interconsulta destinados à oftalmologia no hospital universitário da universidade federal do piauí
relatorio_projetos (870)(in)_filtrado.csv,análise e comparação da reprodutibilidade e concordância intra e interobservadores das classificações de garden e ao para fratura de colo do fêmur
relatorio_projetos (870)(in)_filtrado.csv,aspectos epidemiológicos de pacientes atendidos em tele eletrocardiografia no núcleo de telessaúde da ufpi
relatorio_projetos (870)(in)_filtrado.csv,associação entre os dominios da religiosidade com a preservação das funções cognitivas em pacientes com diagnostico de doença de parkinson idiopatica
relatorio_projetos (870)(in)_filtrado.csv,avaliação da condição de fadiga em pacientes com retocolite ulcerativa no hospital universitário da universidade federal do piauí
relatorio_projetos (870)(in)_filtrado.csv,"avaliação da eficácia do poli-hexametileno biguanida na prevenção de infecções pós-operatórias em cirurgias de prótese de quadril: uma análise abrangente dos resultados, efeitos colaterais e fatores de risco"
relatorio_projetos (870)(in)_filtrado.csv,avaliação da influência das funções visuoespacial e executiva na percepção social em pacientes com doença de parkinson idiopática
relatorio_projetos (870)(in)_filtrado.csv,avaliação da sedoanalgesia pelo monitoramento do índice bispectral em uma unidade de terapia intensiva - covid
relatorio_projetos (870)(in)_filtrado.csv,avaliação da terapia à vácuo endoscópica em pacientes de um hospital universitário.
relatorio_projetos (870)(in)_filtrado.csv,avaliação do estilo de vida dos médicos residentes do hospital universitário da universidade federal do piauí
relatorio_projetos (870)(in)_filtrado.csv,capacidade funcional de mulheres em quimioterapia paliativa por neoplasia mamária em hospital universitário
relatorio_projetos (870)(in)_filtrado.csv,caracterização das reações transfusionais imediatas no hospital universitário do piauí
relatorio_projetos (870)(in)_filtrado.csv,características clínicas e epidemiológicas de pacientes submetidos a terapia de ablação por catéter atendidos em hospital terciário
relatorio_projetos (870)(in)_filtrado.csv,"características clínicas, coinfecção e desfecho de pacientes com a covid-19"
relatorio_projetos (870)(in)_filtrado.csv,cateter central de inserção periférica: análise do uso em pacientes adultos hospitalizados
relatorio_projetos (870)(in)_filtrado.csv,comparação de escores de risco cardiovascular em cirurgia vascular arterial
relatorio_projetos (870)(in)_filtrado.csv,complicações dos pacientes com valvopatia aórtica importante submetidos à cirurgia de troca valvar em um hospital universitário
relatorio_projetos (870)(in)_filtrado.csv,condição de saúde bucal e necessidade de tratamento odontológico de pacientes internados na unidade de terapia intensiva do hu-ufpi/ebserh
relatorio_projetos (870)(in)_filtrado.csv,conhecimento de pacientes internados e acompanhantes sobre segurança do paciente : estudo transversal
relatorio_projetos (870)(in)_filtrado.csv,construção e validação de tecnologias educativas sobre orientações nutricionais para tratamento quimioterápico ambulatorial
relatorio_projetos (870)(in)_filtrado.csv,criação de interface entre sistemas de monitorização em terapia intensiva e construção de painel digital dinâmico
relatorio_projetos (870)(in)_filtrado.csv,desenvolvimento de dataset e de algoritmo para o reconhecimento de acometimento cognitivo na doença de parkinson baseado em aprendizado por inteligência artificial
relatorio_projetos (870)(in)_filtrado.csv,desenvolvimento de um sistema de pontuação de risco para infertilidade
relatorio_projetos (870)(in)_filtrado.csv,disbiose intestinal e estado nutricional em pacientes internados com doenças autoimunes em um hospital universitário
relatorio_projetos (870)(in)_filtrado.csv,distúrbios perceptivos em pacientes com esquizofrenia e transtorno de personalidade borderline: a visão do clínico
relatorio_projetos (870)(in)_filtrado.csv,estimulação cerebral profunda na doença de parkinson: análise de qualidade de vida
relatorio_projetos (870)(in)_filtrado.csv,estudo de preditores precoces de cardiotoxicidade decorrente do tratamento do câncer de mama
relatorio_projetos (870)(in)_filtrado.csv,estudo de prevalência de pneumonia associada a ventilação mecânica em pacientes submetidos a cirurgia cardíaca na uti do hospital universitário da universidade federal do piauí no período de 2022-2024.
relatorio_projetos (870)(in)_filtrado.csv,estudo epidemiológico do registro de transtornos de personalidade no hospital universitário - ufpi no período de 2013 a 2024
relatorio_projetos (870)(in)_filtrado.csv,eventos cardiovasculares em pacientes internados com covid-19 em unidade de terapia intensiva: um estudo observacional retrospectivo
relatorio_projetos (870)(in)_filtrado.csv,impacto da reabilitação motora no segmento cognitivo de pacientes submetidos a cirurgia de medula espinhal
relatorio_projetos (870)(in)_filtrado.csv,impacto de um protocolo pré-operatório de treinamento muscular inspiratório no desfecho de pacientes submetidos a cirurgia cardíaca
relatorio_projetos (870)(in)_filtrado.csv,implementação de um protocolo de triagem respiratória em pacientes com lesão medular cervical e torácica na fase pré-operatória
relatorio_projetos (870)(in)_filtrado.csv,incidência de lesão por pressão: análise da existência de subnotificação
